RDF Type	Class type	Parent	ID	See Also	Label	Part1	Part2L	Part2B	Part3	Scope	Type	Comment	Definition	Editors Note	Citation
owl:Class	subclass	lang:0000001	lang:1003297		Kurti				ktm	I	L		Kurti language		
owl:Class	subclass	lang:0000001	lang:1003298		Karitiâna				ktn	I	L		Karitiâna language		
owl:Class	subclass	lang:0000001	lang:1003299		Kuot				kto	I	L		Kuot language		
owl:Class	subclass	lang:0000001	lang:1003300		Kaduo				ktp	I	L		Kaduo language		
owl:Class	subclass	lang:0000001	lang:1003301		Katabaga				ktq	I	E		Katabaga language		
owl:Class	subclass	lang:0000001	lang:1003302		South Muyu				kts	I	L		South Muyu language		
owl:Class	subclass	lang:0000001	lang:1003303		Ketum				ktt	I	L		Ketum language		
owl:Class	subclass	lang:0000001	lang:1003304		Kituba (Democratic Republic of Congo)				ktu	I	L		Kituba (Democratic Republic of Congo) language		
owl:Class	subclass	lang:0000001	lang:1003305		Eastern Katu				ktv	I	L		Eastern Katu language		
owl:Class	subclass	lang:0000001	lang:1003306		Kato				ktw	I	E		Kato language		
owl:Class	subclass	lang:0000001	lang:1003307		Kaxararí				ktx	I	L		Kaxararí language		
owl:Class	subclass	lang:0000001	lang:1003308		Kango (Bas-Uélé District)				kty	I	L		Kango (Bas-Uélé District) language		
owl:Class	subclass	lang:0000001	lang:1003309		Juǀʼhoan				ktz	I	L		Juǀʼhoan language		
owl:Class	subclass	lang:0000001	lang:1003310		Kuanyama	kj	kua	kua	kua	I	L		Kuanyama language		
owl:Class	subclass	lang:0000001	lang:1003311		Kutep				kub	I	L		Kutep language		
owl:Class	subclass	lang:0000001	lang:1003312		Kwinsu				kuc	I	L		Kwinsu language		
owl:Class	subclass	lang:0000001	lang:1003313		'Auhelawa				kud	I	L		'Auhelawa language		
owl:Class	subclass	lang:0000001	lang:1003314		Kuman (Papua New Guinea)				kue	I	L		Kuman (Papua New Guinea) language		
owl:Class	subclass	lang:0000001	lang:1003315		Western Katu				kuf	I	L		Western Katu language		
owl:Class	subclass	lang:0000001	lang:1003316		Kupa				kug	I	L		Kupa language		
owl:Class	subclass	lang:0000001	lang:1003317		Kushi				kuh	I	L		Kushi language		
owl:Class	subclass	lang:0000001	lang:1003318		Kuikúro-Kalapálo				kui	I	L		Kuikúro-Kalapálo language		
owl:Class	subclass	lang:0000001	lang:1003319		Kuria				kuj	I	L		Kuria language		
owl:Class	subclass	lang:0000001	lang:1003320		Kepo'				kuk	I	L		Kepo' language		
owl:Class	subclass	lang:0000001	lang:1003321		Kulere				kul	I	L		Kulere language		
owl:Class	subclass	lang:0000001	lang:1003322		Kumyk		kum	kum	kum	I	L		Kumyk language		
owl:Class	subclass	lang:0000001	lang:1003323		Kunama				kun	I	L		Kunama language		
owl:Class	subclass	lang:0000001	lang:1003324		Kumukio				kuo	I	L		Kumukio language		
