RDF Type	Class type	Parent	ID	See Also	Label	Label	Label	Label	Label	Part1	Part2L	Part2B	Part3	Comment	Definition	Editors Note	Citation
TYPE	CLASS_TYPE	CI	ID	AI rdfs:seeAlso	AL rdfs:label@en	AL rdfs:label@es	AL rdfs:label@fr	AL rdfs:label@de	AL rdfs:label@it	A LANG:0000002	A LANG:0000003	A LANG:0000004	A  LANG:0000005	A  LANG:0000006	AL IAO:0000115@en	AL IAO:0000116@en	AL IAO:0000119@en
owl:Class		BFO:0000031	LANG:0000001		Language	idioma	la langue	Sprache	linguaggio						"the words, their pronunciation, and the methods of combining them used and understood by a community"		Merriam-Webster https://www.merriam-webster.com/dictionary/languageowl:Class	subclass	LANG:0000001	LANG:10000001		Alumu-Tesu							aab		Alumu-Tesu language		
owl:Class	subclass	LANG:0000001	LANG:10000144		Aghul							agx		Aghul language		
owl:Class	subclass	LANG:0000001	LANG:10000145		Southern Alta							agy		Southern Alta language		
owl:Class	subclass	LANG:0000001	LANG:10000146		Mt. Iriga Agta							agz		Mt. Iriga Agta language		
owl:Class	subclass	LANG:0000001	LANG:10000147		Ahanta							aha		Ahanta language		
owl:Class	subclass	LANG:0000001	LANG:10000148		Axamb							ahb		Axamb language		
owl:Class	subclass	LANG:0000001	LANG:10000149		Qimant							ahg		Qimant language		
owl:Class	subclass	LANG:0000001	LANG:10000150		Aghu							ahh		Aghu language		
owl:Class	subclass	LANG:0000001	LANG:10000151		Tiagbamrin Aizi							ahi		Tiagbamrin Aizi language		
owl:Class	subclass	LANG:0000001	LANG:10000152		Akha							ahk		Akha language		
owl:Class	subclass	LANG:0000001	LANG:10000153		Igo							ahl		Igo language		
owl:Class	subclass	LANG:0000001	LANG:10000154		Mobumrin Aizi							ahm		Mobumrin Aizi language		
owl:Class	subclass	LANG:0000001	LANG:10000155		Àhàn							ahn		Àhàn language		
owl:Class	subclass	LANG:0000001	LANG:10000156		Ahom							aho		Ahom language		
owl:Class	subclass	LANG:0000001	LANG:10000157		Aproumu Aizi							ahp		Aproumu Aizi language		
owl:Class	subclass	LANG:0000001	LANG:10000158		Ahirani							ahr		Ahirani language		
owl:Class	subclass	LANG:0000001	LANG:10000159		Ashe							ahs		Ashe language		
owl:Class	subclass	LANG:0000001	LANG:10000160		Ahtena							aht		Ahtena language		
owl:Class	subclass	LANG:0000001	LANG:10000161		Arosi							aia		Arosi language		
